"Model","RSQ","RMSE"
"Model_1",0.784862195511186,294.372735672208
"Model_2",0.671148133867132,366.186754087751
"Model_3",0.667006989168507,365.571725515463
"Model_4",0.759833205137456,310.424601360046
"Model_5",0.732556026081254,328.618020100908
